,area_name,district_name,name,result_protiv,result_unom_type,result_yavka,result_za,status,updated_at
3323,Нагатинский Затон,ЮАО,"улица Речников, дом 18, корпус 2",6.0,1,57.0,94.0,in_list,06.06
3324,Коптево,САО,"улица Генерала Рычагова, дом 9",12.0,1,55.0,88.0,in_list,06.06
3325,Нагатинский Затон,ЮАО,"улица Речников, дом 20, корпус 1",11.0,1,69.0,89.0,in_list,06.06
3326,Нижегородский,ЮВАО,"Рязанский проспект, дом 15, корпус 1",8.0,1,43.0,92.0,in_list,06.06
3327,Нагатинский Затон,ЮАО,"улица Речников, дом 20, корпус 2",20.0,1,56.0,80.0,in_list,06.06
3328,Нижегородский,ЮВАО,"Рязанский проспект, дом 15, корпус 2",24.0,1,58.0,76.0,in_list,06.06
3329,Нагатинский Затон,ЮАО,"улица Речников, дом 22, корпус 2",4.0,1,57.0,96.0,in_list,06.06
3330,Нижегородский,ЮВАО,"Рязанский проспект, дом 17",10.0,1,48.0,90.0,in_list,06.06
3331,Нагатинский Затон,ЮАО,"улица Речников, дом 22, корпус 3",27.0,1,61.0,73.0,in_list,06.06
3332,Коптево,САО,"3-й Новомихалковский проезд, дом 4",50.0,1,40.0,50.0,in_list,06.06
3333,Нижегородский,ЮВАО,"Рязанский проспект, дом 19, корпус 1",8.0,1,60.0,92.0,in_list,06.06
3334,Нижегородский,ЮВАО,"Рязанский проспект, дом 19, корпус 2",5.0,1,62.0,95.0,in_list,06.06
3335,Нагатинский Затон,ЮАО,"улица Речников, дом 24, корпус 1",18.0,1,55.0,82.0,in_list,06.06
3336,Нагатинский Затон,ЮАО,"улица Речников, дом 24, корпус 2",0.0,1,50.0,100.0,in_list,06.06
3337,Нижегородский,ЮВАО,"Рязанский проспект, дом 21",6.0,1,53.0,94.0,in_list,06.06
3338,Нижегородский,ЮВАО,"Рязанский проспект, дом 23",12.0,1,53.0,88.0,in_list,06.06
3339,Нагатинский Затон,ЮАО,"улица Речников, дом 26, корпус 1",2.0,1,70.0,98.0,in_list,06.06
3340,Нагатинский Затон,ЮАО,"улица Речников, дом 26, корпус 2",10.0,1,61.0,90.0,in_list,06.06
3341,Нижегородский,ЮВАО,"Рязанский проспект, дом 25",9.0,1,55.0,91.0,in_list,06.06
3342,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 13, корпус 2",6.0,1,67.0,94.0,in_list,06.06
3343,Нижегородский,ЮВАО,"Рязанский проспект, дом 27",30.0,1,52.0,70.0,in_list,06.06
3344,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 13, корпус 3",11.0,1,53.0,89.0,in_list,06.06
3345,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 13, корпус 4",9.0,1,58.0,91.0,in_list,06.06
3346,Нижегородский,ЮВАО,"Рязанский проспект, дом 31",25.0,1,58.0,75.0,in_list,06.06
3347,Рязанский,ЮВАО,"Рязанский проспект, дом 47, корпус 1",31.0,1,65.0,69.0,in_list,06.06
3348,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 15, корпус 2",5.0,1,58.0,95.0,in_list,06.06
3349,Рязанский,ЮВАО,"Рязанский проспект, дом 47, корпус 2",3.0,1,75.0,97.0,in_list,06.06
3350,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 15, корпус 3",4.0,1,72.0,96.0,in_list,06.06
3351,Рязанский,ЮВАО,"Рязанский проспект, дом 47, корпус 3",10.0,1,61.0,90.0,in_list,06.06
3352,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 15, корпус 4",20.0,1,66.0,80.0,in_list,06.06
3353,Рязанский,ЮВАО,"Рязанский проспект, дом 49, корпус 1",5.0,1,56.0,95.0,in_list,06.06
3354,Выхино-Жулебино,ЮВАО,"Самаркандский бульвар, дом 15, корпус 5",9.0,1,68.0,91.0,in_list,06.06
3355,Рязанский,ЮВАО,"Рязанский проспект, дом 49, корпус 2",11.0,1,70.0,89.0,in_list,06.06
